iter	Passed	Remaining
827	1084	225
828	1084	223
829	1085	222
830	1086	220
831	1087	219
832	1088	218
833	1089	216
834	1090	215
835	1091	214
836	1092	212
837	1093	211
838	1094	209
839	1095	208
840	1095	207
841	1096	205
842	1097	204
843	1098	203
844	1099	201
845	1100	200
846	1101	198
847	1101	197
848	1102	196
849	1103	194
850	1104	193
851	1105	192
852	1106	190
853	1107	189
854	1108	188
855	1109	186
856	1110	185
857	1111	183
858	1112	182
859	1113	181
860	1114	179
861	1115	178
862	1115	177
863	1116	175
864	1117	174
865	1118	173
866	1119	171
867	1120	170
868	1121	168
869	1122	167
870	1123	166
871	1124	165
872	1125	163
873	1126	162
874	1127	161
875	1127	159
876	1128	158
877	1129	156
878	1130	155
879	1131	154
880	1132	152
881	1132	151
882	1133	150
883	1134	148
884	1135	147
885	1136	146
886	1137	144
887	1138	143
888	1139	142
889	1140	140
890	1141	139
891	1141	138
892	1142	136
893	1143	135
894	1144	134
895	1145	132
896	1146	131
897	1147	130
898	1147	128
899	1148	127
900	1149	126
901	1150	125
902	1151	123
903	1152	122
904	1153	121
905	1154	119
906	1155	118
907	1156	117
908	1157	115
909	1158	114
910	1158	113
911	1159	111
912	1160	110
913	1161	109
914	1162	107
915	1163	106
916	1164	105
917	1165	104
918	1165	102
919	1166	101
920	1168	100
921	1169	98
922	1170	97
923	1170	96
924	1171	95
925	1172	93
926	1173	92
927	1174	91
928	1175	89
929	1176	88
930	1177	87
931	1177	85
932	1178	84
933	1179	83
934	1180	82
935	1181	80
936	1182	79
937	1184	78
938	1185	76
939	1186	75
940	1187	74
941	1188	73
942	1189	71
943	1190	70
944	1191	69
945	1192	68
946	1193	66
947	1194	65
948	1195	64
949	1196	62
950	1197	61
951	1198	60
952	1199	59
953	1200	57
954	1201	56
955	1202	55
956	1203	54
957	1204	52
958	1204	51
959	1205	50
960	1206	48
961	1207	47
962	1208	46
963	1209	45
964	1210	43
965	1210	42
966	1211	41
967	1212	40
968	1213	38
969	1214	37
970	1215	36
971	1216	35
972	1217	33
973	1218	32
974	1219	31
975	1219	29
976	1220	28
977	1221	27
978	1222	26
979	1223	24
980	1224	23
981	1225	22
982	1226	21
983	1227	19
984	1228	18
985	1229	17
986	1230	16
987	1231	14
988	1232	13
989	1233	12
990	1234	11
991	1234	9
992	1235	8
993	1236	7
994	1237	6
995	1238	4
996	1239	3
997	1240	2
998	1241	1
999	1241	0
